Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-21,2016,4,21,Thursday,16,2016-16,66.43,66.68,66.24,66.35,4176528.0,58.78,-0.000947707513225704,57.46,54.3028
2016-04-22,2016,4,22,Friday,16,2016-16,66.54,66.9,66.04,66.52,4865359.0,58.93,0.0025607248996977194,57.676428571428566,54.519000000000005
2016-04-25,2016,4,25,Monday,17,2016-17,66.2,66.21,65.63,66.21,4398352.0,58.65,-0.004730270676995385,57.88928571428572,54.755
2016-04-26,2016,4,26,Tuesday,17,2016-17,66.36,66.56,65.21,65.95,8763335.0,58.43,-0.0038021369467823307,58.065714285714286,54.9722
2016-04-27,2016,4,27,Wednesday,17,2016-17,66.91,67.38,66.0,66.64,10072194.0,59.04,0.010400512063779122,58.26499999999999,55.1958
2016-04-28,2016,4,28,Thursday,17,2016-17,66.17,66.45,65.25,65.59,7421266.0,58.11,-0.015676578372714856,58.380714285714284,55.3754
2016-04-29,2016,4,29,Friday,17,2016-17,65.15,66.04,65.15,65.68,4852806.0,58.19,0.0013432209943169404,58.46928571428572,55.553999999999995
2016-05-02,2016,5,2,Monday,18,2016-18,65.38,66.02,65.16,65.68,6711300.0,58.19,0.0,58.520714285714284,55.733999999999995
2016-05-03,2016,5,3,Tuesday,18,2016-18,65.11,65.37,64.11,64.27,7612263.0,56.94,-0.02146211674135967,58.422142857142866,55.8428
2016-05-04,2016,5,4,Wednesday,18,2016-18,63.81,64.05,63.08,63.35,8943369.0,56.13,-0.014295475376158717,58.26285714285715,55.943999999999996
2016-05-05,2016,5,5,Thursday,18,2016-18,63.64,63.71,62.88,63.12,5609647.0,55.91,-0.0037746985229889507,58.09214285714285,56.0184
2016-05-06,2016,5,6,Friday,18,2016-18,63.1,63.74,62.81,63.64,5951600.0,56.38,0.00827592888101747,57.93285714285714,56.0524
2016-05-09,2016,5,9,Monday,19,2016-19,63.14,63.79,62.92,62.99,6092544.0,55.8,-0.01018600992922658,57.73714285714285,56.07900000000001
2016-05-10,2016,5,10,Tuesday,19,2016-19,63.12,64.46,63.06,64.29,5834808.0,56.96,0.020681538729614424,57.60285714285714,56.140800000000006
2016-05-11,2016,5,11,Wednesday,19,2016-19,64.54,64.62,63.84,63.94,4442685.0,56.65,-0.005481683874270726,57.450714285714284,56.214
2016-05-12,2016,5,12,Thursday,19,2016-19,64.05,64.37,63.66,63.85,4555186.0,56.57,-0.0013777220499302523,57.28214285714286,56.28020000000001
2016-05-13,2016,5,13,Friday,19,2016-19,63.71,64.02,62.91,63.1,5212715.0,55.9,-0.011728884228554004,57.08571428571428,56.3266
2016-05-16,2016,5,16,Monday,20,2016-20,62.96,64.24,62.96,64.08,5512877.0,56.77,0.015458314690366626,56.96714285714285,56.3804
2016-05-17,2016,5,17,Tuesday,20,2016-20,63.98,64.15,62.77,62.97,6659499.0,55.79,-0.01728551360246966,56.73500000000001,56.4154
2016-05-18,2016,5,18,Wednesday,20,2016-20,62.59,63.25,62.17,62.49,5307896.0,55.72,-0.0011066683606770766,56.56428571428571,56.4494
2016-05-19,2016,5,19,Thursday,20,2016-20,62.1,62.27,61.64,61.99,4987712.0,55.29,-0.007855891576401541,56.357142857142854,56.477999999999994
2016-05-20,2016,5,20,Friday,20,2016-20,62.4,62.86,62.1,62.37,6851927.0,55.62,0.005989457627240347,56.173571428571435,56.518
2016-05-23,2016,5,23,Monday,21,2016-21,62.27,62.35,61.84,62.24,4224992.0,55.51,-0.002018252752515104,56.07142857142857,56.5494
2016-05-24,2016,5,24,Tuesday,21,2016-21,62.61,63.16,62.57,62.88,4693429.0,56.07,0.010212355414022545,56.067142857142855,56.591
2016-05-25,2016,5,25,Wednesday,21,2016-21,63.12,63.52,63.12,63.13,3740824.0,56.3,0.004103718681685908,56.095000000000006,56.64339999999999
2016-05-26,2016,5,26,Thursday,21,2016-21,63.21,63.56,63.12,63.19,3980127.0,56.35,0.0008971214873638722,56.09285714285714,56.6834
2016-05-27,2016,5,27,Friday,21,2016-21,63.24,63.42,62.99,63.41,4243107.0,56.55,0.0034858291348707215,56.14642857142858,56.712199999999996
2016-05-31,2016,5,31,Tuesday,22,2016-22,63.42,63.69,63.15,63.3,8367197.0,56.45,-0.001786475109152863,56.11,56.7368
2016-06-01,2016,6,1,Wednesday,22,2016-22,62.99,63.25,62.15,63.15,4460164.0,56.32,-0.0022867096540329923,56.08642857142858,56.7574
2016-06-02,2016,6,2,Thursday,22,2016-22,63.09,63.44,62.98,63.43,3922447.0,56.57,0.004384495283511258,56.08642857142858,56.788599999999995
2016-06-03,2016,6,3,Friday,22,2016-22,63.4,63.42,62.86,63.2,3577634.0,56.36,-0.00357181994898359,56.11928571428571,56.8106
2016-06-06,2016,6,6,Monday,23,2016-23,63.4,63.92,63.25,63.79,5989259.0,56.89,0.009260260659289088,56.12785714285714,56.8438
